Order_ID,commodity,unit_price,quantity,time
1,肉骨湯麵,15,1,1692198875000000000
1,益生菌,150,15,1692198875000000000
1,原萃綠茶,39,2,1692198875000000000
1,品客洋芋片,60,5,1692198875000000000
2,肉骨湯麵,15,5,1692199562000000000
2,品客洋芋片,60,1,1692199562000000000
3,原萃綠茶,39,1,1692200226000000000
3,品客洋芋片,60,14,1692200226000000000
3,肉骨湯麵,15,5,1692200226000000000
3,益生菌,150,3,1692200226000000000
4,肉骨湯麵,15,3,1692206729000000000
5,品客洋芋片,60,11,1692207231000000000
5,肉骨湯麵,15,2,1692207231000000000
5,原萃綠茶,39,7,1692207231000000000
5,益生菌,150,16,1692207231000000000
6,原萃綠茶,39,13,1692214357000000000
6,品客洋芋片,60,6,1692214357000000000
7,益生菌,150,19,1692263160000000000
8,品客洋芋片,60,3,1692264034000000000
8,益生菌,150,12,1692264034000000000
8,原萃綠茶,39,3,1692264034000000000
8,肉骨湯麵,15,6,1692264034000000000
9,益生菌,150,4,1692264782000000000
9,原萃綠茶,39,2,1692264782000000000
9,品客洋芋片,60,2,1692264782000000000
10,益生菌,150,5,1692268622000000000
10,品客洋芋片,60,14,1692268622000000000
10,原萃綠茶,39,3,1692268622000000000
11,原萃綠茶,39,4,1692270794000000000
11,益生菌,150,5,1692270794000000000
12,肉骨湯麵,15,3,1692271579000000000
12,品客洋芋片,60,6,1692271579000000000
13,原萃綠茶,39,18,1692273722000000000
13,益生菌,150,13,1692273722000000000
13,肉骨湯麵,15,5,1692273722000000000
14,原萃綠茶,39,5,1692274661000000000
14,品客洋芋片,60,5,1692274661000000000
14,益生菌,150,5,1692274661000000000
15,原萃綠茶,39,1,1692275103000000000
15,品客洋芋片,60,2,1692275103000000000
15,益生菌,150,2,1692275103000000000
16,益生菌,150,1,1692275359000000000
16,原萃綠茶,39,1,1692275359000000000
16,肉骨湯麵,15,10,1692275359000000000
16,品客洋芋片,60,4,1692275359000000000
17,益生菌,150,4,1692275404000000000
18,肉骨湯麵,15,5,1692275410000000000
18,品客洋芋片,60,4,1692275410000000000
19,品客洋芋片,60,2,1692275668000000000
19,原萃綠茶,39,6,1692275668000000000
20,品客洋芋片,60,3,1692276708000000000
20,肉骨湯麵,15,5,1692276708000000000
20,原萃綠茶,39,1,1692276708000000000
21,原萃綠茶,39,5,1692277505000000000
21,益生菌,150,4,1692277505000000000
22,肉骨湯麵,15,1,1692277900000000000
22,原萃綠茶,39,4,1692277900000000000
22,品客洋芋片,60,3,1692277900000000000
23,品客洋芋片,60,6,1692278003000000000
24,原萃綠茶,39,1,1692279787000000000
24,益生菌,150,3,1692279787000000000
24,肉骨湯麵,15,5,1692279787000000000
25,原萃綠茶,39,1,1692280016000000000
25,品客洋芋片,60,4,1692280016000000000
26,品客洋芋片,60,6,1692281196000000000
27,原萃綠茶,39,19,1692281809000000000
27,益生菌,150,3,1692281809000000000
28,品客洋芋片,60,5,1692281862000000000
29,原萃綠茶,39,5,1692282370000000000
29,品客洋芋片,60,4,1692282370000000000
30,品客洋芋片,60,4,1692282814000000000
30,肉骨湯麵,15,3,1692282814000000000
31,肉骨湯麵,15,4,1692283038000000000
31,原萃綠茶,39,5,1692283038000000000
32,肉骨湯麵,15,3,1692283664000000000
32,原萃綠茶,39,2,1692283664000000000
32,品客洋芋片,60,2,1692283664000000000
33,益生菌,150,6,1692285471000000000
33,肉骨湯麵,15,4,1692285471000000000
34,益生菌,150,19,1692286814000000000
34,品客洋芋片,60,1,1692286814000000000
35,肉骨湯麵,15,4,1692286816000000000
35,益生菌,150,4,1692286816000000000
35,品客洋芋片,60,4,1692286816000000000
35,原萃綠茶,39,6,1692286816000000000
36,益生菌,150,2,1692287321000000000
37,品客洋芋片,60,2,1692287692000000000
37,益生菌,150,4,1692287692000000000
37,肉骨湯麵,15,4,1692287692000000000
37,原萃綠茶,39,4,1692287692000000000
38,品客洋芋片,60,18,1692289766000000000
38,原萃綠茶,39,1,1692289766000000000
38,肉骨湯麵,15,2,1692289766000000000
38,益生菌,150,5,1692289766000000000
39,肉骨湯麵,15,1,1692290467000000000
39,益生菌,150,19,1692290467000000000
39,品客洋芋片,60,1,1692290467000000000
39,原萃綠茶,39,1,1692290467000000000
40,益生菌,150,5,1692290842000000000
40,肉骨湯麵,15,2,1692290842000000000
41,益生菌,150,4,1692290952000000000
41,肉骨湯麵,15,6,1692290952000000000
41,品客洋芋片,60,3,1692290952000000000
41,原萃綠茶,39,4,1692290952000000000
42,原萃綠茶,39,3,1692293089000000000
42,益生菌,150,5,1692293089000000000
43,原萃綠茶,39,9,1692294413000000000
43,品客洋芋片,60,1,1692294413000000000
44,益生菌,150,18,1692294424000000000
45,益生菌,150,6,1692296663000000000
46,肉骨湯麵,15,2,1692296935000000000
46,益生菌,150,3,1692296935000000000
46,品客洋芋片,60,17,1692296935000000000
47,肉骨湯麵,15,6,1692297340000000000
47,原萃綠茶,39,2,1692297340000000000
47,益生菌,150,1,1692297340000000000
47,品客洋芋片,60,5,1692297340000000000
48,肉骨湯麵,15,3,1692297512000000000
48,益生菌,150,1,1692297512000000000
48,原萃綠茶,39,1,1692297512000000000
49,益生菌,150,5,1692298686000000000
49,品客洋芋片,60,5,1692298686000000000
49,肉骨湯麵,15,4,1692298686000000000
50,益生菌,150,6,1692299671000000000
50,原萃綠茶,39,4,1692299671000000000
50,品客洋芋片,60,1,1692299671000000000
51,原萃綠茶,39,6,1692300610000000000
51,肉骨湯麵,15,6,1692300610000000000
52,肉骨湯麵,15,18,1692301424000000000
52,品客洋芋片,60,4,1692301424000000000
52,原萃綠茶,39,2,1692301424000000000
52,益生菌,150,6,1692301424000000000
53,肉骨湯麵,15,4,1692301564000000000
53,益生菌,150,6,1692301564000000000
53,原萃綠茶,39,19,1692301564000000000
54,益生菌,150,2,1692304108000000000
55,肉骨湯麵,15,1,1692304277000000000
55,原萃綠茶,39,4,1692304277000000000
55,益生菌,150,2,1692304277000000000
55,品客洋芋片,60,10,1692304277000000000
56,益生菌,150,1,1692351652000000000
56,原萃綠茶,39,13,1692351652000000000
57,肉骨湯麵,15,5,1692352038000000000
57,益生菌,150,5,1692352038000000000
58,品客洋芋片,60,1,1692352609000000000
58,肉骨湯麵,15,6,1692352609000000000
58,原萃綠茶,39,10,1692352609000000000
59,肉骨湯麵,15,18,1692353164000000000
59,原萃綠茶,39,5,1692353164000000000
59,益生菌,150,3,1692353164000000000
60,益生菌,150,2,1692354108000000000
61,益生菌,150,2,1692354588000000000
62,原萃綠茶,39,4,1692358858000000000
62,品客洋芋片,60,13,1692358858000000000
62,肉骨湯麵,15,11,1692358858000000000
63,益生菌,150,3,1692360187000000000
64,肉骨湯麵,15,1,1692361221000000000
64,原萃綠茶,39,2,1692361221000000000
64,益生菌,150,6,1692361221000000000
64,品客洋芋片,60,1,1692361221000000000
65,益生菌,150,4,1692361595000000000
65,原萃綠茶,39,14,1692361595000000000
65,品客洋芋片,60,2,1692361595000000000
66,益生菌,150,1,1692362475000000000
66,肉骨湯麵,15,5,1692362475000000000
66,原萃綠茶,39,6,1692362475000000000
66,品客洋芋片,60,3,1692362475000000000
67,原萃綠茶,39,9,1692362973000000000
67,益生菌,150,2,1692362973000000000
67,品客洋芋片,60,6,1692362973000000000
68,益生菌,150,2,1692363542000000000
69,肉骨湯麵,15,1,1692363729000000000
69,品客洋芋片,60,1,1692363729000000000
69,益生菌,150,2,1692363729000000000
69,原萃綠茶,39,6,1692363729000000000
70,品客洋芋片,60,20,1692363769000000000
71,品客洋芋片,60,1,1692366200000000000
71,益生菌,150,6,1692366200000000000
72,肉骨湯麵,15,2,1692366768000000000
72,原萃綠茶,39,5,1692366768000000000
72,益生菌,150,3,1692366768000000000
73,品客洋芋片,60,4,1692367072000000000
73,肉骨湯麵,15,1,1692367072000000000
74,品客洋芋片,60,4,1692367672000000000
75,品客洋芋片,60,6,1692368497000000000
76,品客洋芋片,60,4,1692368576000000000
76,原萃綠茶,39,4,1692368576000000000
76,肉骨湯麵,15,3,1692368576000000000
76,益生菌,150,4,1692368576000000000
77,肉骨湯麵,15,19,1692369556000000000
78,肉骨湯麵,15,2,1692370037000000000
78,品客洋芋片,60,20,1692370037000000000
78,原萃綠茶,39,4,1692370037000000000
79,肉骨湯麵,15,5,1692370538000000000
79,原萃綠茶,39,5,1692370538000000000
80,品客洋芋片,60,14,1692371893000000000
80,肉骨湯麵,15,7,1692371893000000000
81,品客洋芋片,60,2,1692372011000000000
81,肉骨湯麵,15,12,1692372011000000000
81,益生菌,150,1,1692372011000000000
82,品客洋芋片,60,6,1692373883000000000
82,肉骨湯麵,15,6,1692373883000000000
82,原萃綠茶,39,5,1692373883000000000
82,益生菌,150,3,1692373883000000000
83,品客洋芋片,60,1,1692375824000000000
83,益生菌,150,2,1692375824000000000
83,原萃綠茶,39,2,1692375824000000000
83,肉骨湯麵,15,6,1692375824000000000
84,益生菌,150,4,1692375891000000000
84,品客洋芋片,60,6,1692375891000000000
85,品客洋芋片,60,5,1692377558000000000
85,肉骨湯麵,15,3,1692377558000000000
86,原萃綠茶,39,4,1692378459000000000
86,肉骨湯麵,15,6,1692378459000000000
86,益生菌,150,4,1692378459000000000
87,益生菌,150,2,1692378841000000000
87,肉骨湯麵,15,1,1692378841000000000
87,原萃綠茶,39,1,1692378841000000000
88,品客洋芋片,60,6,1692378877000000000
88,益生菌,150,5,1692378877000000000
88,肉骨湯麵,15,4,1692378877000000000
88,原萃綠茶,39,5,1692378877000000000
89,肉骨湯麵,15,3,1692379245000000000
89,品客洋芋片,60,1,1692379245000000000
89,原萃綠茶,39,12,1692379245000000000
90,益生菌,150,1,1692379559000000000
90,品客洋芋片,60,9,1692379559000000000
90,原萃綠茶,39,6,1692379559000000000
91,肉骨湯麵,15,12,1692380070000000000
92,肉骨湯麵,15,10,1692380972000000000
92,原萃綠茶,39,4,1692380972000000000
92,益生菌,150,2,1692380972000000000
93,益生菌,150,13,1692383119000000000
93,品客洋芋片,60,4,1692383119000000000
93,原萃綠茶,39,2,1692383119000000000
93,肉骨湯麵,15,3,1692383119000000000
94,品客洋芋片,60,14,1692384126000000000
94,原萃綠茶,39,5,1692384126000000000
94,益生菌,150,3,1692384126000000000
95,益生菌,150,8,1692384181000000000
95,品客洋芋片,60,5,1692384181000000000
95,肉骨湯麵,15,5,1692384181000000000
95,原萃綠茶,39,2,1692384181000000000
96,品客洋芋片,60,1,1692385144000000000
96,益生菌,150,6,1692385144000000000
97,益生菌,150,6,1692385561000000000
97,肉骨湯麵,15,9,1692385561000000000
97,原萃綠茶,39,1,1692385561000000000
97,品客洋芋片,60,3,1692385561000000000
98,肉骨湯麵,15,4,1692386822000000000
